x, y
-0.3020372378469418, 64206.38062889412
0.0014858223934660353, 96335.61857925775
0.177694206676972, 117331.05503344517
0.3005375723876981, 134175.5402279689
0.39821424451468507, 146694.0340494697
0.47664905521076056, 157187.06370209838
0.5438432964953972, 166564.2126320615
0.6012228041436909, 174115.94323699182
0.6548508409662459, 181770.8224801517
0.6960339616547078, 187765.9463627081
0.7407885933137992, 193507.88722415554
0.779922940267171, 199562.3997166017
0.8146275061717001, 204441.64287649252
0.8468956924993656, 209183.35451874387
0.8768936160394989, 213121.7570693284
0.9017557621761298, 216953.8852653733
0.930023302494059, 220932.92212798767
0.955300740604019, 224374.3357852841
0.9757607918233624, 227778.24084686075
1.001356620446208, 231491.59182312613
