x, y
1.015205788017283, 6297879006.324954
1.3273325299665992, 4999854267.31737
2.021488967108218, 3403264743.2515497
4.216914258276733, 1764747049.4527402
7.242624531854903, 1035989730.1565483
11.641661753549807, 633371865.1390836
17.053182557458427, 344962996.6499963
24.879339884402754, 162837173.17733443
34.3413511295907, 68589229.49211775
45.00357981145248, 33553250.342537194
64.21207194723084, 14305321.752962543
89.3960823085597, 7160261.936593541
124.03837821549465, 3669417.7412492414
173.25279845654262, 1634068.0636071262
223.31319876551592, 802781.1316544737
283.9825696788877, 367823.78614132706
357.2936829410674, 155338.68374240847
466.559612031713, 51690.68914676161
548.4102666998871, 23215.711090571487
664.7360695795747, 7814.316463429211
788.3089588423271, 2974.813307852361
930.4515951646165, 1034.2952966104112
1074.6779185458324, 349.51008817973116
1269.4345807281375, 74.36599748425124
