x, y
156.25487723938167, 281.86905104412796
180.7189967443768, 414.9178179789293
209.88090059413304, 468.8082661414023
287.22892038494064, 673.3586531553747
392.13675254523196, 996.7315354300149
486.3844505624055, 2225.810319821746
578.3600252984428, 7025.58454600261
666.6598226863811, 26325.65265949748
726.0553429764825, 89329.57353889021
794.5603665851831, 225391.94362152685
911.8187567623763, 794675.0418521754
1057.120783351811, 1899025.5403636384
1352.7612413211546, 1586623.686954954
1492.856052022407, 760566.9347464227
1651.2724862622547, 282978.57449877745
1863.4646139065826, 101861.36195132721
2092.4166018355486, 38035.53886482029
2332.360810958148, 15735.191688201081
3039.4780590147134, 7562.632309524128
3613.5488426053907, 3088.9467850453216
4317.202398533156, 1441.0298790197887
5404.043419336271, 845.9524870582406
256.26896561945813, 553.2716135313398
