x, y
3.7559312971997594, 138381236.8532841
4.234890507696763, 286577976.23772585
5.036868720621979, 652478292.2170578
5.994787141615986, 1079692991.9984899
8.29156363474348, 1711006429.9868424
10.338835794960904, 770378595.0708879
10.837844460781039, 384442625.23380196
13.611352447147409, 140398705.6591303
14.506894784913898, 811248367.9018205
15.694268083494842, 191551418.40053952
17.382877765154046, 4162079986.977176
19.4412885116621, 834931403.404302
21.980886185925282, 3733930258.919598
23.95018824210831, 898677980.7188134
24.449196907928446, 1766730926.4567332
26.77493372541157, 1357070697.787382
27.249437501392325, 10187395298.555906
28.78645798525251, 7542343205.355634
28.78645798525251, 7542343205.355634
30.628884581968858, 38487344112.38987
32.056851344427365, 5733545822.613954
33.794470805765336, 843608062.5874135
35.13110116064069, 4664974449.865254
36.69941411036111, 3328535509.0401564
39.41054601349997, 805121128.6027689
41.47341219452427, 475280333.1483466
43.244447414734125, 1373064869.5946789
44.988750027846464, 923321056.4023418
46.70186459934505, 2555851353.813601
47.60631780614405, 1285819557.9636724
50.59814208380672, 2046454950.8062124
52.87041368709483, 597587767.100839
53.98872775067389, 801936693.7359016
55.06471518634855, 4117143461.5996995
57.16768027801911, 927466804.0559654
58.47535030853884, 4661760321.625333
60.14613825213304, 1185588861.070962
62.496379959455545, 5223229688.321161
64.25404887611664, 1304565602.6379879
67.27706119539309, 661762722.1614101
68.47111764574841, 993644910.6457938
70.3156675354764, 2390977950.3567424
73.00897770055025, 741721975.6505333
76.36837532580365, 4079012789.920124
77.21713560114951, 2784851075.818289
80.34930606607409, 2014964041.49973
81.82405489095324, 3225772632.392934
83.61736728374434, 9109554287.432602
85.25028403395041, 4618585714.296099
86.75844861770145, 6851721065.731751
89.4784913898728, 13002456379.905159
93.14308627948941, 4564786032.243942
96.87451268684978, 2290169081.6320267
97.37352135266993, 37363437260.196526
98.76807235625654, 6272068740.807652
100.6794537637283, 3566653047.973831
102.11855911247744, 27560896603.52469
103.87845574639667, 22293334491.392197
105.03686872062198, 5685340958.072093
108.23364298603221, 11384916765.95072
112.44625632114773, 9234403853.088636
114.34649914232885, 4636925797.121967
117.03312615562832, 28517411124.032047
118.68163692664127, 10150599303.793062
119.87123794248035, 40098486584.835686
120.39252378088173, 138434896463.0989
120.88707701218561, 810445007998.6562
121.84722315043774, 53931088501.67147
124.69424580632226, 17150649950.021973
125.99523268506762, 22688610837.120285
128.56379068368642, 11828851647.14812
129.63309496758671, 35689583935.99403
129.45933302145292, 127007548246.474
132.31749426362805, 14174778635.543625
133.92813384125287, 96073041034.71915
135.11773485709193, 28054404055.123367
136.94446300875492, 20417880776.808006
138.66648844928602, 48600484653.53893
140.87861168660473, 31612561687.69186
145.3385016373722, 43955526710.25273
147.86696072534474, 68762623895.13242
152.32016752433782, 87672965191.43857
154.39640000891086, 153195797702.63177
159.21495243823654, 145177474973.10077
164.68177058967677, 287233001639.362
164.8332553632293, 432400045907.786
169.2018089064136, 580962289473.435
173.6928868987948, 702445949009.3671
177.51342199648022, 1267834318993.6157
181.2114326449687, 2085702815352.5232
190.14235113279423, 3774846812116.781
